Category: All categories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Month,Lyme disease: (United States),Tick: (United States),Lyme disease: (Connecticut),Tick: (Connecticut),Lyme disease: (Delaware),Tick: (Delaware),Lyme disease: (Maine),Tick: (Maine),Lyme disease: (Maryland),Tick: (Maryland),Lyme disease: (Massachusetts),Tick: (Massachusetts),Lyme disease: (Minnesota),Tick: (Minnesota),Lyme disease: (New Hampshire),Tick: (New Hampshire),Lyme disease: (New Jersey),Tick: (New Jersey),Lyme disease: (New York),Tick: (New York),Lyme disease: (Pennsylvania),Tick: (Pennsylvania),Lyme disease: (Rhode Island),Tick: (Rhode Island),Lyme disease: (Vermont),Tick: (Vermont),Lyme disease: (Virginia),Tick: (Virginia),Lyme disease: (Wisconsin),Tick: (Wisconsin)
2004-01,16,10,22,3,0,0,4,0,17,13,7,6,9,6,4,4,15,6,12,5,8,5,42,0,0,7,11,7,25,6
2004-02,14,11,13,0,0,0,4,0,16,4,9,2,20,6,8,8,11,8,11,5,14,4,41,10,0,7,19,6,6,6
2004-03,18,18,10,7,0,26,9,5,11,16,9,8,11,11,5,5,29,11,22,9,14,10,25,12,16,0,8,3,11,4
2004-04,25,26,26,26,58,19,4,15,29,25,21,20,28,28,32,8,28,17,20,17,17,14,29,19,6,0,10,22,23,9
2004-05,37,42,44,16,71,18,21,24,48,33,42,36,31,26,39,18,41,36,40,37,26,25,61,44,6,23,45,30,34,31
2004-06,40,34,52,19,18,0,11,15,48,18,40,27,36,25,43,15,38,42,38,27,34,21,47,19,6,12,46,35,20,52
2004-07,39,25,45,13,18,53,17,21,68,15,32,20,33,11,12,21,44,18,47,16,48,9,39,20,26,7,29,19,41,15
2004-08,30,17,53,9,16,0,23,0,55,10,26,8,22,20,15,4,23,11,31,13,25,10,55,9,17,0,33,9,35,16
2004-09,22,13,47,6,15,15,21,0,25,13,14,5,25,9,6,10,23,15,35,11,15,9,31,0,5,0,21,6,10,7
2004-10,20,17,37,17,0,0,0,11,30,20,21,16,21,2,6,6,24,24,17,18,23,13,39,8,10,15,15,3,20,10
2004-11,18,16,30,6,16,16,11,11,31,14,10,12,36,7,7,3,16,12,18,11,18,8,32,0,5,5,23,3,18,5
2004-12,16,9,20,7,14,0,6,6,15,0,12,5,6,4,12,6,24,3,13,8,9,5,7,0,8,0,12,6,7,0
2005-01,15,10,23,3,13,13,3,3,13,16,10,7,15,4,5,5,9,5,13,6,16,7,26,13,15,0,11,9,10,2
2005-02,17,9,17,7,0,0,9,0,8,8,9,4,19,6,0,3,15,7,11,5,17,8,13,0,16,0,19,11,6,4
2005-03,17,13,24,3,0,0,2,2,28,12,7,4,14,3,7,7,12,5,16,7,8,10,38,16,3,0,17,5,14,5
2005-04,23,27,36,14,13,13,12,27,48,32,22,18,15,19,14,14,25,29,22,15,22,16,32,13,16,4,15,25,10,17
2005-05,33,39,37,31,47,12,30,15,46,28,41,30,29,34,18,16,28,31,31,24,29,17,28,28,7,14,31,37,22,29
2005-06,46,39,49,19,25,13,26,23,84,31,51,29,37,37,17,25,59,26,50,33,28,24,76,38,23,19,46,26,23,45
2005-07,50,30,70,13,100,12,33,9,84,29,46,18,37,18,20,7,65,34,58,30,50,23,100,25,8,0,58,21,28,15
2005-08,32,20,51,8,11,0,19,3,56,13,39,9,22,12,20,9,41,16,47,17,29,12,53,12,11,4,26,19,30,14
2005-09,24,14,46,9,0,10,10,2,43,4,21,7,19,6,12,6,32,10,25,13,23,5,36,5,9,9,18,13,19,6
2005-10,19,16,26,12,9,0,15,15,21,14,19,9,10,11,20,4,19,14,25,18,16,14,23,9,12,15,12,7,12,10
2005-11,18,15,24,14,29,29,16,2,24,28,15,13,19,9,13,4,26,26,22,17,23,15,37,23,9,9,13,16,18,9
2005-12,14,10,15,5,29,10,10,0,19,9,6,2,15,1,4,2,15,13,10,6,15,5,18,9,3,3,12,11,8,4
2006-01,15,10,21,1,9,9,8,2,31,14,9,4,10,9,6,0,20,6,12,8,15,4,37,12,3,0,14,6,6,4
2006-02,15,11,22,4,9,0,6,2,21,4,14,6,6,1,3,3,20,6,17,9,13,5,41,17,8,0,16,11,10,5
2006-03,16,14,17,7,0,8,12,3,22,12,14,12,7,10,11,6,20,9,16,12,19,9,29,0,9,7,13,18,8,4
2006-04,24,31,32,14,8,8,16,20,25,20,22,22,16,24,20,13,25,33,23,24,27,23,8,23,15,17,25,16,12,22
2006-05,29,38,42,20,35,28,30,30,44,44,28,22,36,37,12,30,38,46,25,32,29,30,40,22,7,19,25,33,28,43
2006-06,42,38,61,15,56,48,33,26,66,41,38,28,30,27,26,18,54,36,41,33,38,23,53,24,21,8,49,51,44,40
2006-07,36,31,47,13,50,17,11,11,57,28,55,24,40,14,26,8,50,25,48,27,37,19,81,16,23,3,32,36,33,15
2006-08,30,21,56,9,38,23,15,12,41,14,31,11,20,9,30,7,23,14,40,18,28,10,48,22,12,5,29,21,27,17
2006-09,23,16,36,6,7,7,19,3,37,21,24,7,25,4,24,7,20,14,25,9,20,6,41,17,14,2,19,10,18,3
2006-10,20,17,29,15,19,6,13,8,34,18,22,14,17,7,17,8,18,22,21,24,18,17,19,19,11,15,20,11,12,16
2006-11,18,17,29,24,13,0,9,7,23,21,17,20,15,5,11,9,16,19,20,20,24,20,32,22,13,18,12,15,10,8
2006-12,15,11,24,10,13,13,13,3,19,17,12,8,6,3,10,6,16,9,19,14,10,7,16,13,6,3,8,10,13,4
2007-01,15,11,22,5,6,0,6,3,20,7,15,6,5,6,5,5,17,6,15,11,14,7,30,12,8,3,14,10,13,4
2007-02,13,9,18,6,12,6,10,3,14,8,12,4,13,6,4,1,13,2,12,5,9,6,18,9,6,3,13,6,13,4
2007-03,16,16,27,7,11,0,11,5,28,9,12,6,5,8,5,4,23,9,16,10,15,9,19,5,7,2,16,18,18,17
2007-04,18,26,22,12,18,12,13,8,21,14,13,15,17,18,6,9,19,24,17,14,24,13,22,16,13,15,20,28,18,30
2007-05,31,48,43,25,52,35,41,36,48,56,27,33,32,58,21,21,38,34,34,29,24,39,32,24,18,18,33,42,31,74
2007-06,35,42,70,26,21,36,23,20,60,42,37,28,38,47,21,28,38,35,41,34,32,25,68,22,12,18,28,43,41,42
2007-07,36,30,56,12,42,7,17,11,47,32,43,17,40,20,20,3,48,31,37,22,36,21,57,23,21,13,24,27,30,25
2007-08,34,21,38,11,14,7,20,10,55,23,29,10,22,14,10,2,39,14,35,20,28,11,56,14,8,13,32,16,29,10
2007-09,23,19,26,9,33,0,14,1,47,15,23,9,18,7,17,7,24,16,20,12,21,9,26,13,0,7,14,15,23,10
2007-10,22,19,39,11,30,6,14,16,33,19,24,18,18,21,17,7,22,16,25,22,21,15,35,9,15,6,18,12,20,15
2007-11,18,16,24,15,0,6,15,13,34,23,23,15,20,12,6,8,16,16,17,14,18,16,26,9,11,7,15,11,14,16
2007-12,13,10,26,2,0,0,6,1,25,9,10,5,8,7,7,2,11,9,12,8,10,7,20,7,16,2,9,7,10,4
2008-01,13,10,21,4,22,17,9,2,15,11,12,6,10,5,8,3,13,9,14,6,11,6,27,5,10,0,9,7,5,7
2008-02,13,10,23,5,5,0,9,1,17,11,9,5,13,4,12,3,12,11,11,8,11,6,16,14,8,2,8,6,8,5
2008-03,15,15,23,6,21,5,7,5,21,23,11,5,10,5,8,5,17,16,13,10,12,8,22,11,10,2,11,9,9,7
2008-04,22,29,31,18,36,10,15,23,38,31,20,30,10,10,15,18,26,24,21,22,25,23,37,20,16,12,17,22,15,13
2008-05,31,46,47,23,25,36,30,38,43,64,27,34,29,51,31,16,31,45,30,29,26,31,34,25,23,11,25,41,33,45
2008-06,38,44,56,29,43,31,19,22,73,50,40,27,48,46,28,29,40,38,38,37,39,28,43,23,17,12,36,38,43,39
2008-07,38,31,54,17,23,12,25,18,63,32,44,21,47,25,26,11,49,26,47,33,33,21,63,15,16,7,24,21,33,28
2008-08,27,21,46,10,29,6,19,5,35,21,37,12,27,10,22,10,29,13,26,16,26,15,44,7,9,2,20,14,21,14
2008-09,22,17,24,8,36,10,14,8,31,16,25,6,16,8,16,9,23,14,25,13,18,10,26,8,10,4,16,10,21,9
2008-10,22,19,30,17,14,5,14,13,37,21,23,25,22,15,8,11,21,15,26,23,22,21,35,16,10,17,19,10,19,17
2008-11,21,18,25,14,30,15,13,12,32,29,21,19,14,11,11,7,22,19,24,20,24,20,44,25,16,16,11,7,14,10
2008-12,14,11,20,6,5,0,12,3,26,10,13,5,10,4,11,1,12,12,11,9,12,7,29,6,4,2,7,7,9,4
2009-01,13,10,19,5,10,5,10,1,24,3,7,3,12,5,7,3,12,6,13,7,12,5,12,0,4,0,6,6,6,8
2009-02,14,11,21,6,19,5,6,2,17,11,13,3,8,4,7,2,14,10,15,7,9,8,18,6,2,0,8,6,8,4
2009-03,19,19,26,9,8,0,6,7,26,23,15,11,11,9,10,4,22,15,17,15,18,16,30,11,7,5,11,9,15,7
2009-04,25,30,39,18,22,4,18,11,49,24,22,28,17,16,13,18,28,29,23,25,28,27,25,23,17,16,18,21,19,18
2009-05,33,47,49,28,47,30,24,26,62,67,33,42,37,54,21,31,40,47,34,35,31,38,48,31,24,30,22,32,28,47
2009-06,36,42,61,26,40,35,18,18,65,64,37,27,39,31,26,12,53,45,38,35,41,32,51,35,10,10,21,25,33,33
2009-07,36,29,60,17,45,20,17,15,73,36,46,22,41,24,19,10,43,28,40,26,41,20,63,20,25,10,23,14,31,28
2009-08,29,22,45,10,20,15,16,6,58,25,35,11,35,19,20,6,32,16,32,18,38,17,82,18,28,2,19,14,22,13
2009-09,22,16,25,7,14,9,6,5,43,16,19,9,25,9,12,4,30,16,27,14,18,9,26,12,5,0,11,9,19,10
2009-10,19,17,20,13,13,13,14,13,39,23,19,17,13,11,12,8,23,21,22,15,21,20,22,19,3,18,10,8,22,15
2009-11,19,18,28,12,23,14,9,12,46,22,22,19,14,10,11,12,21,20,23,21,23,24,48,21,10,12,13,9,18,17
2009-12,13,11,21,4,5,0,10,6,24,7,10,5,8,7,11,2,18,11,18,10,14,9,24,6,7,1,7,4,13,4
2010-01,13,10,21,4,13,4,9,2,16,8,13,3,7,1,6,2,14,6,15,8,12,7,11,6,6,2,8,5,13,6
2010-02,12,9,17,5,13,4,9,4,18,5,11,5,11,5,4,1,8,7,14,7,10,4,13,9,2,1,6,4,11,5
2010-03,15,16,25,13,18,0,7,5,32,18,14,14,13,10,14,12,15,14,19,11,15,12,17,17,3,2,9,8,10,13
2010-04,23,33,30,21,12,29,22,33,41,45,21,28,17,36,20,20,23,33,20,30,25,25,20,29,8,11,13,20,26,42
2010-05,28,38,35,16,17,13,26,36,57,44,27,29,31,43,28,29,32,35,31,32,28,27,40,27,16,16,16,23,33,44
2010-06,31,35,44,12,34,14,19,18,51,58,29,19,37,31,26,18,40,35,36,31,33,27,53,21,8,9,20,22,34,35
2010-07,27,25,48,13,23,5,24,10,48,27,28,13,36,21,25,12,28,22,29,24,33,21,32,20,7,7,15,15,33,18
2010-08,22,21,37,8,18,9,14,9,42,23,22,11,24,13,17,5,26,15,26,20,22,12,41,21,6,4,12,13,23,11
2010-09,18,18,29,9,12,4,14,6,30,20,17,9,13,12,11,2,22,15,20,16,19,15,23,16,5,3,12,10,21,15
2010-10,18,20,31,16,15,4,8,17,27,19,18,17,17,22,11,12,23,18,19,23,22,22,30,22,8,6,11,9,24,25
2010-11,15,16,28,12,8,16,14,12,33,19,16,13,12,11,16,9,17,19,20,18,18,18,21,21,6,5,8,9,18,6
2010-12,12,10,19,5,4,0,6,1,14,11,12,7,12,4,7,2,11,9,14,9,15,9,15,8,4,2,6,6,8,7
2011-01,12,11,16,5,13,10,8,2,19,11,9,5,11,6,7,3,16,7,12,8,12,8,14,7,9,2,14,9,10,5
2011-02,14,12,18,5,15,3,5,3,20,13,10,4,14,5,7,1,14,6,13,7,13,8,26,7,11,2,15,9,8,4
2011-03,16,16,27,10,9,8,6,3,28,19,14,8,10,6,8,5,21,15,16,10,14,12,25,18,7,3,24,20,11,8
2011-04,21,30,30,24,15,15,9,11,29,38,22,24,15,18,14,17,24,20,19,23,20,23,32,32,9,8,33,44,13,22
2011-05,33,52,42,32,27,17,21,33,42,54,34,41,31,57,29,32,30,40,28,41,32,41,48,49,19,23,54,76,33,50
2011-06,37,51,56,29,38,41,26,26,63,56,42,33,41,55,31,24,42,47,38,42,40,42,58,39,24,21,60,70,35,54
2011-07,33,39,61,16,24,22,18,24,49,40,37,22,29,34,28,18,40,32,34,27,36,29,41,29,24,15,43,47,37,39
2011-08,25,28,39,13,19,17,18,10,49,30,27,16,26,23,13,10,26,21,25,21,24,19,41,20,15,9,33,30,25,23
2011-09,22,22,33,8,16,9,13,11,29,16,21,12,18,14,16,7,22,16,25,15,24,15,29,16,14,11,34,26,13,15
2011-10,20,25,31,18,9,10,20,28,26,22,22,25,18,14,19,20,23,19,22,26,23,26,29,31,13,20,24,21,18,27
2011-11,19,23,27,23,11,11,15,14,33,32,22,29,13,11,25,22,22,20,20,26,26,29,23,18,16,21,21,22,15,17
2011-12,16,16,27,10,22,6,8,5,25,19,15,14,11,7,16,7,16,14,16,14,18,20,27,11,13,10,15,15,9,11
2012-01,14,15,26,7,11,8,10,8,26,14,14,9,10,5,10,4,16,11,15,12,14,16,24,5,11,11,22,14,13,7
2012-02,16,15,22,8,10,6,7,3,21,12,14,10,11,6,11,5,17,11,15,10,16,14,11,11,12,5,17,12,13,7
2012-03,20,29,30,23,17,11,17,15,26,28,22,28,14,19,17,24,19,20,21,23,22,28,28,30,15,21,26,31,20,30
2012-04,28,42,39,28,28,28,29,30,39,29,29,36,26,35,24,32,31,32,24,32,24,30,37,33,18,24,38,48,31,38
2012-05,34,55,43,28,29,44,25,40,63,70,33,41,29,48,30,43,36,39,32,42,31,39,50,45,21,39,60,89,37,53
2012-06,35,46,48,20,37,25,25,32,71,67,40,32,28,36,25,31,38,43,31,37,36,34,49,39,16,24,61,74,31,36
2012-07,30,37,45,17,30,15,18,16,42,39,38,23,27,31,23,16,33,23,31,30,31,26,66,36,21,12,37,41,29,26
2012-08,25,26,35,9,24,15,16,10,48,29,33,16,26,12,16,11,28,16,26,20,27,17,40,12,10,10,32,33,19,17
2012-09,22,21,29,9,16,8,18,7,35,24,21,11,17,11,18,4,26,14,22,16,23,13,31,9,14,10,30,24,18,12
2012-10,18,18,34,14,8,12,14,9,33,17,20,17,15,11,15,12,24,14,20,19,21,21,29,18,17,11,25,20,15,10
2012-11,17,17,27,12,16,6,11,8,23,23,21,15,10,7,14,13,17,14,16,15,21,18,20,15,11,13,19,19,17,10
2012-12,14,13,13,5,9,7,8,4,20,12,12,7,10,4,12,4,14,9,14,9,17,10,16,9,5,3,19,11,13,6
2013-01,14,11,15,4,15,4,10,3,21,11,12,7,9,4,10,4,13,7,13,7,13,6,16,8,7,3,16,9,11,5
2013-02,13,11,19,5,12,6,11,2,18,13,12,5,10,6,8,1,14,7,12,7,12,6,15,7,9,3,17,11,10,3
2013-03,19,15,23,7,9,10,7,5,25,16,15,7,13,6,9,4,18,10,16,10,14,10,17,14,8,5,20,14,12,8
2013-04,20,31,28,22,21,22,18,21,38,32,19,23,14,11,15,27,21,24,22,24,22,30,22,27,13,17,30,44,14,19
2013-05,30,61,41,31,19,34,27,35,41,62,27,40,27,64,25,41,32,46,28,40,30,48,41,40,21,27,46,77,33,80
2013-06,38,61,47,31,45,42,21,32,58,59,37,38,45,75,32,31,37,44,39,50,40,46,50,40,28,27,50,80,43,68
2013-07,37,45,58,25,29,23,25,23,45,42,45,27,37,39,32,21,35,31,47,40,40,32,48,22,32,15,49,54,42,49
2013-08,30,29,46,11,20,22,25,9,41,33,31,16,35,20,25,9,30,22,37,31,33,18,51,16,19,7,36,30,28,22
2013-09,23,22,35,10,17,11,13,7,36,24,23,12,22,11,13,4,25,13,25,18,19,14,38,12,14,5,33,22,23,13
2013-10,22,26,28,17,10,13,19,19,29,19,24,22,19,17,17,18,22,20,26,30,22,30,43,25,24,20,22,19,26,28
2013-11,23,21,28,15,13,7,12,14,33,20,21,18,16,11,14,13,20,18,24,24,24,28,28,16,13,14,27,22,18,14
2013-12,16,13,23,5,13,5,6,4,20,13,16,8,10,6,10,3,15,10,15,8,15,10,18,5,12,4,17,12,12,6
2014-01,13,11,23,5,7,2,8,4,19,9,12,5,9,5,11,3,13,7,13,8,12,7,18,10,9,3,16,9,12,6
2014-02,15,12,19,4,7,10,11,4,18,6,10,4,9,6,9,2,12,7,13,8,12,7,16,5,10,3,15,8,12,4
2014-03,15,17,23,6,15,6,12,6,21,18,14,8,9,7,10,5,15,9,16,9,14,11,28,11,9,6,15,16,12,8
2014-04,25,38,34,26,20,20,16,18,32,47,26,36,16,20,17,22,25,31,25,33,25,36,34,34,13,23,27,39,20,29
2014-05,34,65,32,25,27,34,26,54,50,69,36,59,30,56,29,47,33,48,37,59,33,55,46,61,32,52,42,70,37,71
2014-06,37,60,43,27,24,48,34,47,59,84,42,41,41,47,25,33,40,50,41,53,42,50,55,42,31,31,42,76,37,53
2014-07,37,43,53,22,31,20,24,25,56,42,43,26,40,28,22,16,42,32,41,35,41,36,54,35,28,19,27,33,38,36
2014-08,27,30,44,12,23,11,25,17,41,30,28,16,22,19,22,11,25,24,34,26,29,19,32,26,15,11,19,21,23,21
2014-09,23,21,29,10,21,10,18,9,31,25,21,10,16,10,13,7,24,12,23,18,22,13,39,17,21,9,16,15,15,13
2014-10,19,22,30,15,12,13,13,20,35,23,20,23,17,14,17,17,21,17,23,24,23,26,31,23,10,12,13,12,19,21
2014-11,17,20,26,13,12,12,12,13,27,21,18,20,13,8,14,14,18,18,18,18,18,20,29,20,13,11,11,15,14,8
2014-12,16,14,18,6,6,9,11,3,14,14,16,9,11,7,10,3,16,10,15,11,16,10,19,12,9,5,10,6,12,7
2015-01,17,12,23,5,7,2,10,4,25,11,14,5,10,7,9,3,15,7,16,9,15,7,18,6,7,2,8,7,13,5
2015-02,15,12,17,5,9,5,8,4,18,12,11,4,10,6,8,4,14,7,13,9,14,7,15,6,8,5,7,5,11,5
2015-03,16,17,23,6,9,3,9,5,23,15,13,7,12,8,9,6,14,9,15,12,14,11,14,8,7,5,8,10,11,11
2015-04,35,46,36,35,13,21,15,20,35,38,25,39,23,38,16,29,34,38,29,39,32,38,30,48,12,22,16,26,25,46
2015-05,39,70,46,52,29,53,28,68,51,69,36,57,31,66,26,60,37,63,34,60,36,61,51,70,18,44,20,41,42,93
2015-06,48,64,61,35,30,41,29,46,63,71,42,40,39,57,31,36,43,57,46,57,50,62,52,46,24,28,28,38,40,64
2015-07,45,50,65,23,27,25,29,28,61,48,45,33,46,34,28,22,45,40,51,48,55,43,67,36,24,28,51,48,42,33
2015-08,32,31,49,14,23,11,21,15,43,29,30,18,32,19,17,11,33,22,36,29,36,21,53,28,18,14,33,32,27,20
2015-09,24,24,30,7,17,24,16,9,29,21,20,10,22,13,18,7,24,14,28,18,27,14,36,17,14,6,27,22,20,15
2015-10,26,24,31,13,15,7,16,20,34,28,20,22,20,15,18,11,22,22,27,27,28,32,30,23,14,17,24,20,24,23
2015-11,21,24,25,16,25,10,19,19,33,30,21,24,15,12,14,15,23,26,24,34,30,36,19,17,14,20,24,22,23,16
2015-12,29,19,28,14,20,9,11,7,36,22,19,13,18,6,16,8,27,18,30,19,27,21,32,19,15,7,27,17,19,8
2016-01,21,14,27,6,11,11,8,4,24,14,16,8,14,6,9,3,19,10,21,12,19,10,21,7,12,4,18,12,14,5
2016-02,19,15,24,7,11,4,9,6,21,10,13,8,13,6,10,3,17,9,21,12,18,10,23,12,11,5,18,11,16,7
2016-03,25,29,34,20,12,12,11,14,24,25,21,23,17,22,17,16,22,23,24,26,25,27,30,27,12,17,24,32,17,24
2016-04,27,44,32,23,15,23,17,37,32,39,23,31,22,32,16,32,29,37,27,36,27,35,32,34,15,24,29,50,20,40
2016-05,33,58,45,33,17,33,30,56,45,53,33,41,32,56,28,47,36,45,33,45,33,48,36,32,26,33,38,64,33,67
2016-06,37,57,56,31,35,47,28,48,52,69,37,35,40,53,28,40,42,50,40,44,43,43,45,50,21,30,47,77,37,44
2016-07,32,43,61,20,28,29,25,27,41,43,34,29,34,30,21,19,39,38,40,37,42,35,43,31,22,19,34,42,37,27
2016-08,27,28,47,13,16,17,22,9,38,29,27,15,27,18,16,8,31,24,34,27,32,19,35,14,20,10,25,31,22,19
2016-09,23,24,33,9,15,16,11,9,28,27,19,10,17,10,12,7,24,16,27,19,26,14,21,15,18,5,26,24,17,14
2016-10,21,26,30,17,11,13,19,26,27,19,20,21,18,19,16,18,19,19,24,28,26,29,24,15,13,22,23,19,22,29
2016-11,20,25,30,21,12,12,19,21,24,23,18,22,17,13,17,16,20,22,23,29,28,36,22,21,18,20,17,21,19,20
2016-12,16,15,27,8,12,5,8,6,20,12,13,7,11,7,11,5,18,11,20,12,17,13,19,9,14,5,14,13,13,7
2017-01,16,14,32,8,11,6,8,6,18,13,14,8,13,7,9,4,17,10,15,13,16,11,20,10,6,4,16,13,12,5
2017-02,16,17,24,7,12,11,9,3,20,19,13,9,12,8,11,3,19,15,17,14,21,18,20,10,7,4,15,17,12,8
2017-03,21,27,29,16,12,17,11,10,27,22,17,17,13,15,12,11,21,20,23,20,25,25,27,20,16,9,19,24,18,16
2017-04,30,59,44,63,21,26,22,48,34,57,27,54,22,44,17,42,32,56,29,60,36,63,40,54,19,45,30,56,25,51
2017-05,44,100,57,100,30,61,38,100,53,91,42,100,42,100,37,100,43,100,45,100,48,100,52,92,28,100,43,100,40,100
2017-06,47,94,63,65,47,50,29,88,57,100,45,74,45,88,30,71,47,95,53,99,54,79,55,71,35,67,52,99,50,89
2017-07,41,68,70,42,28,21,27,46,50,56,44,48,37,48,29,28,43,56,53,78,53,57,57,50,36,43,38,65,46,53
2017-08,30,40,53,24,17,21,18,18,40,40,30,23,25,22,18,15,31,33,39,41,36,27,48,22,28,17,30,39,31,28
2017-09,26,29,39,13,13,13,18,11,30,25,22,15,19,17,14,10,25,19,30,28,28,21,34,16,18,10,26,24,21,17
2017-10,23,30,38,18,11,17,25,33,24,26,21,22,19,21,15,20,25,24,32,40,27,34,32,23,19,29,22,24,25,28
2017-11,20,25,36,21,15,11,20,27,22,25,18,24,16,12,15,18,20,22,27,34,26,30,21,25,20,26,17,24,17,15
2017-12,16,17,25,9,7,6,12,8,20,17,14,10,11,6,7,5,15,11,19,18,18,15,16,13,9,6,17,18,14,10
